result:
nnodes | ntasks | space_size | ncpus | timing_pat | niter_pat
-------+--------+------------+-------+------------+----------
     1 |     24 |         24 |     1 |     3.5312 |       4.0
     2 |     24 |         24 |     1 |     2.4658 |       5.0
     4 |     24 |         24 |     1 |     1.5581 |       5.5
     6 |     24 |         24 |     1 |     1.1749 |      5.75
    12 |     24 |         24 |     1 |     0.9213 |       7.0
