n,muP,nuP,kappaP,dP
1,0.503279643458094,0,0,0.503279643458094
2,0.816727627838378,0.185553224731504,-0.00228085256988136,1.32115517796462
3,1.12706880188601,0.0463616380225774,-0.173430439908588,2.59006849359057
4,1.30867449292274,0.0237583841296306,-0.332432877052367,4.3205714907569
5,1.42659267012779,0.0143227176681018,-0.440915387795888,6.51016956096223
6,1.5098318730313,0.00956822793794282,-0.519400100969244,9.15727889274024
7,1.57184320799715,0.00683746735073394,-0.578680675347883,12.2609531165704
8,1.61986953358694,0.00512681692145088,-0.62499635050839,15.8206077132181
9,1.65817932839209,0.00398534719089526,-0.662164675582985,19.8358645727869
10,1.68945834048579,0.00318620003509207,-0.692644540520886,24.3064686558421
11,1.71548339554396,0.0026051569175631,-0.718088552461526,29.2322416660157
12,1.73747788722868,0.00216958639870156,-0.739647473627385,34.6130551158813
13,1.7563121159736,0.00183473161748611,-0.758146847591087,40.4488139863462
14,1.77262230981089,0.00157179922753352,-0.774194109038425,46.7394464354398
15,1.78688446197769,0.00136158942331142,-0.788246051400997,53.4848970862304
16,1.79946184759807,0.00119090031183853,-0.800652747909905,60.6851225332747
17,1.81063655065207,0.00105041805889453,-0.811686968710965,68.3400882510737
18,1.82063096934123,0.000933414530503893,-0.821564383871732,76.4497664139176
19,1.82962281466741,0.000834938112402385,-0.830457752779813,85.014134331468
20,1.83775581075249,0.000751272911996605,-0.83850708366449,94.0331733081954
21,1.84514744637322,0.000679593164251871,-0.845827039537475,103.506867791727
22,1.85189470999179,0.000617712425343852,-0.852512422417129,113.435204735114
23,1.85807836876979,0.000563924504769148,-0.858642293274554,123.818173105356
24,1.86376623241733,0.000516875264455531,-0.864283107681781,134.655763507768
25,1.86901564485195,0.000475486060796766,-0.869491130912751,145.947967887982
26,1.87387543650514,0.000438881949057963,-0.8743143184542,157.69477930102
27,1.87838744051561,0.000406354526800491,-0.878793795042415,169.896191722847
28,1.88258771078578,0.000377317949489751,-0.882965028735266,182.552199903281
29,1.88650747912842,0.000351291816482147,-0.886858770944903,195.662799242379
30,1.89017394336665,0.000327871710183645,-0.890501815076836,209.227985693957
31,1.89361089049978,0.000306722845157262,-0.893917613344935,223.24775568183
32,1.8968392231796,0.00028755856171362,-0.897126781741316,237.722106034984
33,1.89987737587065,0.000270140152058598,-0.900147516022706,252.651033927289
34,1.90274167779713,0.000254259170824572,-0.902995936967951,268.034536835125
35,1.90544663503938,0.000239742584413167,-0.90568637762379,283.872612493927
36,1.90800518952817,0.00022643543461936,-0.908231624962792,300.165258875332
37,1.91042891166126,0.000214209860470547,-0.910643121521733,316.912474145607
38,1.91272819032421,0.000202948716660784,-0.912931139040868,334.114256648385
