result:
nnodes | ntasks | space_size | timing_pat |  error_pat | niter_pat
-------+--------+------------+------------+------------+----------
     1 |     12 |          1 |    84.5776 | 0.00019842 |      14.0
     1 |     24 |          2 |    48.6976 | 0.00019842 |      14.0
