result:
nnodes | ntasks | space_size | timing_pat |  error_pat | niter_pat
-------+--------+------------+------------+------------+----------
     1 |      4 |          1 |   178.1946 | 0.00019842 |     14.67
     1 |      8 |          2 |   103.2252 | 0.00019842 |     13.83
     1 |     16 |          4 |    50.9991 | 0.00019842 |      14.5
     1 |     24 |          6 |    39.7261 | 0.00019842 |     13.83
