result:
nnodes | ntasks | space_size | timing_pat |  error_pat | niter_pat
-------+--------+------------+------------+------------+----------
     1 |     24 |         24 |     9.5927 | 0.00019842 |       4.0
     2 |     24 |         24 |     5.2925 | 0.00019842 |       4.0
     4 |     24 |         24 |     3.3654 | 0.00019842 |       4.0
     6 |     24 |         24 |     2.6944 | 0.00019842 |       4.0
    12 |     24 |         24 |     2.2952 | 0.00019842 |       4.0
    24 |     24 |         24 |     3.8326 | 0.00019842 |       4.0
