result:
nnodes | ntasks | space_size | timing_pat |  error_pat | niter_pat
-------+--------+------------+------------+------------+----------
     1 |      1 |          1 |    39.5238 | 0.00019842 |     14.58
     1 |      2 |          2 |    29.6715 | 0.00019842 |     14.58
     1 |      4 |          4 |    26.1609 | 0.00019842 |     14.58
     1 |      6 |          6 |    22.8153 | 0.00019842 |     14.58
     1 |     12 |         12 |     21.642 | 0.00019842 |     14.58
     1 |     24 |         24 |    21.2171 | 0.00019842 |     14.58
