result:
nnodes | ntasks | space_size | ncpus | timing_pat | niter_pat
-------+--------+------------+-------+------------+----------
     1 |      1 |          1 |     1 |    31.6875 |       4.0
     1 |      2 |          2 |     1 |    18.3877 |       4.0
     1 |      4 |          4 |     1 |    10.1326 |       4.0
     1 |      6 |          6 |     1 |     7.1452 |       4.0
     1 |     12 |         12 |     1 |     4.5086 |       4.0
     1 |     24 |         24 |     1 |       3.52 |       4.0
     2 |     24 |         48 |     1 |     3.4735 |       4.0
